"","Provincia","Año_Trimestre","Transacciones"
"159","Almería"," 2009_3º","2485"
"160","Almería"," 2009_4º","2603"
"161","Almería"," 2010_1º","1840"
"162","Almería"," 2010_2º","3002"
"163","Almería"," 2010_3º","1684"
"164","Almería"," 2010_4º","2759"
"165","Almería"," 2011_1º","1634"
"166","Almería"," 2011_2º","1854"
"167","Almería"," 2011_3º","1575"
"168","Almería"," 2011_4º","1888"
"169","Almería"," 2012_1º","1442"
"170","Almería"," 2012_2º","1736"
"171","Almería"," 2012_3º","1725"
"172","Almería"," 2012_4º","2879"
"173","Almería"," 2013_1º","1446"
"174","Almería"," 2013_2º","1815"
"175","Almería"," 2013_3º","1905"
"176","Almería"," 2013_4º","1716"
"177","Almería"," 2014_1º","1723"
"178","Almería"," 2014_2º","1879"
"179","Almería"," 2014_3º","1552"
"180","Almería"," 2014_4º","1883"
"181","Almería"," 2015_1º","1623"
"182","Almería"," 2015_2º","2005"
"183","Almería"," 2015_3º","1846"
"184","Almería"," 2015_4º","2123"
"185","Almería"," 2016_1º","1809"
"186","Almería"," 2016_2º","2282"
"187","Almería"," 2016_3º","2081"
"188","Almería"," 2016_4º","2224"
"189","Almería"," 2017_1º","2089"
"190","Almería"," 2017_2º","2859"
"191","Almería"," 2017_3º","2195"
"192","Almería"," 2017_4º","2609"
"193","Almería"," 2018_1º","2596"
"194","Almería"," 2018_2º","3277"
"195","Almería"," 2018_3º","2876"
"196","Almería"," 2018_4º","2930"
"197","Almería"," 2019_1º","2820"
"198","Almería"," 2019_2º","3193"
"199","Almería"," 2019_3º","2675"
"200","Almería"," 2019_4º","3320"
"201","Almería"," 2020_1º","2317"
"202","Almería"," 2020_2º","1605"
"203","Almería"," 2020_3º","2894"
"204","Almería"," 2020_4º","3251"
"205","Almería"," 2021_1º","2780"
"206","Almería"," 2021_2º","3971"
"207","Almería"," 2021_3º","3771"
"208","Almería"," 2021_4º","4077"
"209","Almería"," 2022_1º","3606"
"210","Almería"," 2022_2º","4375"
"211","Almería"," 2022_3º","4092"
"212","Almería"," 2022_4º","3801"
"213","Almería"," 2023_1º","3450"
"214","Almería"," 2023_2 (**)","4222"
"215","Almería"," 2004_1º","4391"
"216","Almería"," 2004_2º","5545"
"217","Almería"," 2004_3º","4643"
"218","Almería"," 2004_4º","4782"
"219","Almería"," 2005_1º","4287"
"220","Almería"," 2005_2º","5746"
"221","Almería"," 2005_3º","5648"
"222","Almería"," 2005_4º","6201"
"223","Almería"," 2006_1º","5710"
"224","Almería"," 2006_2º","6439"
"225","Almería"," 2006_3º","6369"
"226","Almería"," 2006_4º","6812"
"227","Almería"," 2007_1º","5660"
"228","Almería"," 2007_2º","5773"
"229","Almería"," 2007_3º","4713"
"230","Almería"," 2007_4º","4453"
"231","Almería"," 2008_1º","3448"
"232","Almería"," 2008_2º","3388"
"233","Almería"," 2008_3º","3365"
"234","Almería"," 2008_4º","2781"
"235","Cádiz"," 2009_1º","2805"
"236","Cádiz"," 2009_2º","2968"
"237","Cádiz"," 2009_3º","2756"
"238","Cádiz"," 2009_4º","3256"
"239","Cádiz"," 2010_1º","2550"
"240","Cádiz"," 2010_2º","3614"
"241","Cádiz"," 2010_3º","2075"
"242","Cádiz"," 2010_4º","3542"
"243","Cádiz"," 2011_1º","1996"
"244","Cádiz"," 2011_2º","2187"
