"...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22"
"Tabla 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Número total de transacciones inmobiliarias de viviendas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Años: 2019, 2020, 2021, 2022 y 2023 (*)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(*) Para acceder a la información de años anteriores consulte las pestañas que se encuentran en la parte inferior de este excel.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Año 2019",NA,NA,NA,"Año 2020",NA,NA,NA,"Año 2021",NA,NA,NA,"Año 2022",NA,NA,NA,"Año 2023",NA,NA,NA,NA
NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,"(trimestre)",NA,NA,NA,NA
NA,"1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2 (**)",NA,NA,NA
"Coruña (A)","2105","2384","2047","2466","1939","1211","2450","2957","2214","2757","2818","3051","2691","3117","2880","2799","2582","2617",NA,NA,NA
"Lugo","717","700","691","758","538","376","897","907","815","942","998","1052","844","878","978","915","830","913",NA,NA,NA
"Ourense","466","535","475","564","455","263","689","635","483","634","645","691","591","719","718","754","662","650",NA,NA,NA
"Pontevedra","1472","1747","1442","1893","1473","952","1764","1950","1680","2145","2043","2240","1932","2206","2012","1985","1658","1876",NA,NA,NA
"Madrid (Comunidad de)","19562","19987","16611","22474","15944","11460","17324","22410","20259","24986","20692","25140","24082","25078","19723","21523","19442","20227",NA,NA,-0.193436478188053
"Murcia (Región de)","4426","5077","4266","5527","3802","2790","4786","5540","4901","6487","5382","6899","6166","6685","6155","6461","5586","6744",NA,NA,NA
"Navarra (C. Foral de)","1515","1715","1409","1882","1459","1270","1529","2106","1908","2105","1801","2211","2110","2439","1698","1788","1865","1731",NA,NA,NA
"País Vasco","5776","6490","4871","6507","5071","4216","4951","6451","6275","6480","5493","7117","6579","7225","5636","6518","5536","5493",NA,NA,NA
"Araba/Alava","932","999","690","899","828","541","757","1008","939","899","858","933","1035","1010","979","889","787","921",NA,NA,NA
"Gipuzkoa","1853","2182","1769","2185","1469","1429","1650","2250","2003","2056","1824","2274","1915","2400","1713","2301","1728","1817",NA,NA,NA
"Bizkaia","2991","3309","2412","3423","2774","2246","2544","3193","3333","3525","2811","3910","3629","3815","2944","3328","3021","2755",NA,NA,NA
"Rioja (La)","1089","1062","928","1213","872","656","992","1284","1003","1306","1284","1536","1284","1450","1134","1275","1017","1152",NA,NA,NA
"Ceuta y Melilla","282","342","255","339","253","174","321","424","341","338","355","324","363","334","274","295","259","266",NA,NA,NA
"Ceuta","143","168","131","196","136","109","173","195","155","167","190","144","175","150","143","150","130","135",NA,NA,NA
"Melilla","139","174","124","143","117","65","148","229","186","171","165","180","188","184","131","145","129","131",NA,NA,NA
"** Datos provisionales.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
